파일명	전체 pptx
패스트캠퍼스_교육제안서_롯데백화점_마케터 대상 생성형 AI 활용 과정_vf.txt	https://drive.google.com/file/d/1bGeyUQu3EvvRnNFmeIIEmz9IwpF4ADKq/view
패스트캠퍼스_교육제안서_한화생명_AI 인사이트 특강 제안서(250930).txt	https://drive.google.com/file/d/1ftnReE8mzmRjdmOPkzgpbcm9Q46-xPot/view
[패스트캠퍼스]교육제안서_창신INC_경영진 대상 생성형 AI 워크숍.txt	https://drive.google.com/file/d/1-zbWnE7K9QCbPd9wTps1RQJ_oMgVb9Ng/view
패스트캠퍼스_교육제안서_모트렉스_대상별 생성형 AI 교육제안서.txt	https://drive.google.com/file/d/1LHeik4DMq_I39jQVcbFKUjrpu7gUwWzL/view
패스트캠퍼스_교육제안서_교보리얼코_생성형 AI 업무 적용 특화 과정.txt	https://drive.google.com/file/d/1U0NmKeoIUVmulOhIRTX7Kfr8kCsvXY4U/view
패스트캠퍼스_교육제안서_인카금융서비스_실무에 바로 적용하는 생성형 AI_250728.txt	https://drive.google.com/file/d/1d5aSyCCJZUjJgVvyZM4qLOu2Z3VTx--c/view
패스트캠퍼스_교육제안서_GS 리테일_2025 생성형 AI 교육 제안_250117.txt	https://drive.google.com/file/d/1laY3FaRmMYZ9EnM2Bu5uS6Ak-4TcIPzv/view
패스트캠퍼스_교육제안서_LG경영연구원_단계별 생성형AI교육_250926.txt	https://drive.google.com/file/d/1CKZsMsFpRHAyt1kWks9b9S8asDqfltz6/view
패스트캠퍼스_교육제안서_엔씨소프트_생성형 AI 활용 과정.txt	https://drive.google.com/file/d/12DhFi4b69FSb-ITnj98Kvjfb2b0T-u8m/view
패스트캠퍼스_교육제안서_GS엠비즈_생성형 AI 워크샵_250926.txt	https://drive.google.com/file/d/1WQX1OXa0pbRKyWJ9HrD4agFPpF7F_jap/view
패스트캠퍼스_교육제안서_롯데마트_임원 대상 AI 리더십 과정_250926.txt	https://drive.google.com/file/d/1V6ulSjPvB-Fsfbi1_Nx4t0LuX1Wb_Zbd/view
패스트캠퍼스_교육제안서_IBK투자증권_GPT 기반 업무 자동화 챗봇 제작 교육_250430.txt	https://drive.google.com/file/d/1sHTyWy2s0YYZcv255e4uIvL8OSz5SaY4/view
패스트캠퍼스_교육제안서_신세계 프라퍼티_전사 대상 생성형 AI 과정_250509.txt	https://drive.google.com/file/d/1mP11PDPIH6uy17dg0hRQDc-D9ALraA8c/view
패스트캠퍼스_교육제안서_CJ올리브네트웍스_기획직무 생성형 AI 워크숍_vf.txt	https://drive.google.com/file/d/1yxxGYOywf3GZmGPryFkC5etz_xkQbx3x/view
패스트캠퍼스_제안서_엘지유플러스_2024 생성형 AI 활용 과정_240417.txt	https://drive.google.com/file/d/1gquSz0vM9rDJ-sghGDMwya2UZ1zB4oOb/view
패스트캠퍼스_교육제안서_롯데유통군HQ_유통군 Agentic AI 과정_250923.txt	https://drive.google.com/file/d/1n5HJMjMddp792B_pRj2reJl8MLgqvPGn/view
패스트캠퍼스_교육제안서_매일유업_생성형 AI 업무효율화 과정_세부 커리큘럼_250923.txt	https://drive.google.com/file/d/1s1uribBdy6xbyXe6CAi44WJoAgMQe0qX/view
패스트캠퍼스_교육제안서_(주)토비스_생성형 AI 활용 업무 효율화 (초급) 과정_250808.txt	https://drive.google.com/file/d/1gLKEs9DNaGTx62vhRVyjuWMjaEQ7BMJ8/view
패스트캠퍼스_교육제안서_삼성전자_생성형AI 교육과정.txt	https://drive.google.com/file/d/1CU7_ssKYEJsCNy4PQFZzpMAdxIZU0EQ4/view
패스트캠퍼스_교육제안서_코웨이_임원 대상 생성형 AI 교육.txt	https://drive.google.com/file/d/1DJLVQnAl1TUtM4_loCkL6iEZs4NojJoW/view
패스트캠퍼스_교육제안서_동아출판_생성형AI_250408.txt	https://drive.google.com/file/d/1ekxCbUl03CkwiTNMERaRpSae6OWefA3H/view
패스트캠퍼스_교육제안서_오뚜기_승진자 대상 AI특강 교육제안서(250421).txt	https://drive.google.com/file/d/1T3bBdlGBxif0i1OR1gJvwf_l41TaDdwJ/view
패스트캠퍼스_교육제안서_S-OIL_2025년 임원 AI 교육 과정 수행 용역_vf.txt	https://drive.google.com/file/d/1hzmq7WyggkEZ8kqcq1sJo5_M92CDRt0f/view
패스트캠퍼스_교육제안서_한국노바티스_Copilot을 활용한 업무효율화_240805.txt	https://drive.google.com/file/d/1BUHxKus7OeYZdGMCnjDR5vuv9RmdYduZ/view
패스트캠퍼스_교육제안서_동아ST_생성형AI를 활용한 데이터 분석 및 GPTs 생성_250407.txt	https://drive.google.com/file/d/1_TT0sq1MrqHw9WtybU7fA3XjI2mI26NZ/view
패스트캠퍼스_교육제안서_한섬 미드저니 업무 활용_250917.txt	https://drive.google.com/file/d/1AJBd9ic2slwV0Yj0Ii-RpQyTJLrJaiJw/view
패스트캠퍼스_교육제안서_롯데호텔_마케팅 직무 대상 생성형AI 과정.txt	https://drive.google.com/file/d/1jQRF2UgNNEf2WpiKaYwDpgJGGmMwFGc9/view
패스트캠퍼스_제안서_한화투자증권_생성형AI 활용 업무자동화 교육_241112.txt	https://drive.google.com/file/d/1QwSveH27aJYkBQ4pv6_uGrMNUPnbOIav/view
패스트캠퍼스_교육체계도_HL인재개발원_26년도 전사직무교육체계수립_250910_1차 전달용.txt	https://drive.google.com/file/d/1yyRrXYVTtKnxHrtqKOzzD_Lwf0Je6qsf/view
패스트캠퍼스_교육제안서_DL케미칼_25년 DX아카데미_250508.txt	https://drive.google.com/file/d/1GK8JMjdOsuw08iz-1A1ZjcGdMDy8pw4m/view
패스트캠퍼스_교육제안서_에코비트_업무 효율화를 위한 생성형AI 활용과정 (250402).txt	https://drive.google.com/file/d/1xyBQ2Ry403nqUiHx8urXN4WVkKGGgQar/view
패스트캠퍼스_교육제안서_NH투자증권_Vibe코딩과 AI콘텐츠제작과정(250905).txt	https://drive.google.com/file/d/1VK4NHo-8t8SX2KV-643JiBaQ3IkQVArx/view
[패스트캠퍼스] 창신INC_M365 워킹그룹 교육 제안서.txt	https://drive.google.com/file/d/1cXs14Wcb7lF1vRAds46n1H-zdOTsseL2/view
패스트캠퍼스_교보생명_임원대상 AI교육 커리큘럼_250903.txt	https://drive.google.com/file/d/1N65aNDT4xdpOFimUSjtPfh12Yfb9X_HA/view
패스트캠퍼스_교육제안서_코웨이_팀장 대상 생성형 AI 교육_250403.txt	https://drive.google.com/file/d/19M3ZpHKH3Eli4DyE8iinDXcOtC_zCkP9/view
패스트캠퍼스_LG생활건강_브랜드 마케터 및 R&D 생성형AI 활용 과정_250701.txt	https://drive.google.com/file/d/1HPS-JIQ89TASpHjG--RnUSEBnER_mWDa/view
패스트캠퍼스_교육제안서_제일기획_이미지생성 AI활용 특강 제안서(250305).txt	https://drive.google.com/file/d/1YigFU173g2hD5ZABIYCeyWEXMrAL3qgU/view
